"","Temperature..K.","Luminosity.L.Lo.","Radius.R.Ro.","Absolute.magnitude.Mv.","Star.type","Star.color","Spectral.Class"
"3",2600,2.59000259024652e-10,0.102,18.7,"Brown Dwarf","Red","M"
"4",2800,1.41272868558901e-10,0.16,16.65,"Brown Dwarf","Red","M"
"5",1939,6.82818864701355e-11,0.103,20.06,"Brown Dwarf","Red","M"
"7",2637,7.65228038027381e-10,0.127,17.22,"Brown Dwarf","Red","M"
"8",2600,3.76727649490403e-10,0.096,17.4,"Brown Dwarf","Red","M"
"9",2650,7.18137081841081e-10,0.11,17.45,"Brown Dwarf","Red","M"
"10",2700,1.17727390465751e-10,0.13,16.05,"Brown Dwarf","Red","M"
"13",3134,3.76727649490403e-10,0.196,13.21,"Red Dwarf ","Red","M"
"14",3628,6.3808245632437e-09,0.393,10.48,"Red Dwarf ","Red","M"
"15",2650,6.12182430421905e-10,0.14,11.782,"Red Dwarf ","Red","M"
"16",3340,4.37945892532594e-09,0.24,13.07,"Red Dwarf ","Red","M"
"17",2799,2.02491111601092e-09,0.16,14.79,"Red Dwarf ","Red","M"
"19",3192,4.16754962248758e-09,0.1967,13.53,"Red Dwarf ","Red","M"
"20",3441,4.58195003692703e-08,0.351,11.18,"Red Dwarf ","Red","M"
"21",25000,6.58331567484479e-08,0.0084,10.58,"White Dwarf","Blue_White","B"
"24",8500,4.94455039956154e-10,0.01,14.5,"White Dwarf","White","A"
"27",8570,8.59409950399982e-10,0.0097,14.2,"White Dwarf","Blue_White","A"
"28",7700,3.53182171397253e-11,0.0128,14.47,"White Dwarf","yellow_white","F"
"29",11790,8.24091733260257e-11,0.011,12.59,"White Dwarf","yellow_white","F"
"30",7230,0,0.013,14.08,"White Dwarf","Pale yellow orange","F"
"32",30000,0.0339525793161407,6.3,-4.2,"Main Sequence","Blue_White","B"
"33",15276,0.00133738306150902,7.2,-1.97,"Main Sequence","Blue_White","B"
"34",9700,8.71181747627434e-05,2.89,0.16,"Main Sequence","White","B"
"35",5800,9.5349768086021e-07,0.9,5.05,"Main Sequence","yellow_white","F"
"36",8052,1.0242188788608e-05,1.8,2.42,"Main Sequence","White","A"
"37",6757,1.68340750174787e-06,1.12,2.41,"Main Sequence","yellow_white","F"
"38",6380,1.58922558937527e-06,0.98,2.93,"Main Sequence","yellow_white","F"
"40",5587,9.64093146002128e-07,0.99,5.03,"Main Sequence","yellow_white","F"
"41",3826,0.23545478083732,19,-6.93,"Supergiant","Red","M"
"42",3365,0.400273127489371,23,-6.2,"Supergiant","Red","M"
"43",3270,0.176591085604445,88,-6.02,"Supergiant","Red","M"
"44",3200,0.229568411314032,17,-7.22,"Supergiant","Red","M"
"45",3008,0.329636693209921,25,-6,"Supergiant","Red","M"
"46",3600,0.376727649396221,29,-6.6,"Supergiant","Red","M"
"47",3575,0.144804690178692,45,-6.78,"Supergiant","Red","M"
"48",3574,0.23545478083732,89,-5.24,"Supergiant","Red","M"
"49",3625,0.2166183983628,84,-6.74,"Supergiant","Red","M"
"50",33750,0.25900025893047,26,-6.1,"Supergiant","Blue","B"
"51",3490,0.317863954163346,1520,-9.4,"Hypergiant ","Red","M"
"52",3750,0.333168514923893,1260,-7.63,"Hypergiant ","Red","M"
"55",3650,0.364954910349646,1324,-7.79,"Hypergiant ","Red","M"
"56",3450,0.309623036830743,1349,-11.75,"Hypergiant ","Red","M"
"57",3660,0.427350427296494,1673,-11.92,"Hypergiant ","Red","M"
"58",3450,0.204845659316225,1284,-11.28,"Hypergiant ","Red","M"
"59",3752,0.246050245979238,955,-11.24,"Hypergiant ","Red","M"
"60",3535,0.229568411314032,1546,-11.36,"Hypergiant ","Red","M"
"61",3341,6.49855195370945e-09,0.057,16.23,"Brown Dwarf","Red","M"
"62",3432,6.94591603747931e-10,0.19,16.94,"Brown Dwarf","Red","M"
"63",2983,1.88363824745202e-10,0.094,16.09,"Brown Dwarf","Red","M"
"64",2835,3.06091215210953e-10,0.0918,16.96,"Brown Dwarf","Red","M"
"65",2935,7.06364342794506e-11,0.116,18.89,"Brown Dwarf","Red","M"
"67",2945,2.82545737117802e-10,0.093,18.34,"Brown Dwarf","Red","M"
"69",2774,3.29636693304103e-10,0.118,17.39,"Brown Dwarf","Red","M"
"71",3345,2.46285700854351e-08,0.273,12.3,"Red Dwarf ","Red","M"
"72",3607,2.58058439900926e-08,0.38,10.12,"Red Dwarf ","Red","M"
"73",3304,9.91264627721623e-09,0.18,13.2,"Red Dwarf ","Red","M"
"74",3150,1.02658284486135e-08,0.35,11.94,"Red Dwarf ","Red","M"
"75",3550,4.61491370625744e-09,0.291,10.89,"Red Dwarf ","Red","M"
"76",3180,1.08309199228491e-09,0.35,11.76,"Red Dwarf ","Red","M"
"77",2890,3.90854936346293e-09,0.24,13.46,"Red Dwarf ","Red","M"
"80",3158,1.49513785891504e-09,0.161,13.98,"Red Dwarf ","Red","M"
"81",7100,2.47227519978077e-10,0.012,14.09,"White Dwarf","yellow_white","F"
"82",10574,7.06364342794506e-11,0.0092,12.02,"White Dwarf","White","F"
"83",8930,5.65091474235605e-10,0.0095,13.78,"White Dwarf","White","A"
"84",17200,1.05954651419176e-09,0.015,12.45,"White Dwarf","Blue_White","B"
"85",14100,6.94591603747931e-10,0.0089,12.17,"White Dwarf","Blue_White","B"
"86",9675,4.35591344723279e-10,0.0109,13.98,"White Dwarf","Blue_White","A"
"87",12010,8.24091733260257e-10,0.0092,12.13,"White Dwarf","Blue_White","B"
"88",10980,7.77000777073956e-10,0.0087,11.19,"White Dwarf","Blue_White","B"
"89",13720,1.17727390465751e-10,0.00892,12.97,"White Dwarf","White","F"
"90",19860,1.20081938275066e-09,0.0131,11.34,"White Dwarf","Blue","B"
"92",4526,1.80028725500226e-07,0.865,6.506,"Main Sequence","yellow","K"
"93",4077,9.99740999835157e-08,0.795,6.228,"Main Sequence","yellow","K"
"94",4980,4.20192602050358e-07,1.13,4.78,"Main Sequence","yellow","K"
"95",9030,5.29772315276756e-05,2.63,1.45,"Main Sequence","Blue_White","A"
"96",11250,0.000791127969747934,6.98,-2.3,"Main Sequence","Blue_White","A"
"99",12098,0.000811141626127112,7.01,0.02,"Main Sequence","Blue_White","A"
"100",36108,0.233100233028005,10.2,-4.4,"Main Sequence","Blue","O"
"101",33300,0.28254573702362,12,-6.5,"Supergiant","Blue","B"
"102",40000,0.957123684392373,14,-6.23,"Supergiant","Blue","O"
"103",23000,0.149513785797322,36,-5.76,"Supergiant","Blue","O"
"106",14245,0.271950271881703,42,-6.12,"Supergiant","Blue","O"
"107",24630,0.427350427296494,63,-5.83,"Supergiant","Blue","O"
"109",24345,0.167172894367184,57,-6.24,"Supergiant","Blue","O"
"110",33421,0.414400414345261,67,-5.79,"Supergiant","Blue","O"
"111",3459,0.117727390371569,1289,-10.7,"Hypergiant ","Red","M"
"112",3605,0.148336511892664,1124,-10.81,"Hypergiant ","Red","M"
"113",3615,0.23545478083732,1635,-11.33,"Hypergiant ","Red","M"
"114",3399,0.137741046750747,1486,-10.92,"Hypergiant ","Red","M"
"115",3610,0.155400155320609,1522,-10.86,"Hypergiant ","Red","M"
"116",3553,0.170704716081157,1324,-11.03,"Hypergiant ","Red","M"
"118",3625,0.0871182688504738,876,-10.25,"Hypergiant ","Red","M"
"120",3780,0.23545478083732,1324,-10.7,"Hypergiant ","Red","M"
"121",3323,4.12045866630128e-10,0.0912,17.16,"Brown Dwarf","Red","M"
"122",3531,1.00068281895888e-09,0.0976,19.94,"Brown Dwarf","Red","M"
"123",3218,5.41545996142455e-10,0.11,20.02,"Brown Dwarf","Red","M"
"125",3511,6.59273386608206e-10,0.109,17.12,"Brown Dwarf","Red","M"
"126",3225,8.00546255167107e-10,0.121,19.63,"Brown Dwarf","Red","M"
"127",2935,9.30046384679433e-10,0.0932,16.88,"Brown Dwarf","Red","M"
"128",2861,1.29500129512326e-10,0.0899,16.71,"Brown Dwarf","Red","M"
"130",2731,4.20286783962731e-10,0.0856,18.09,"Brown Dwarf","Red","M"
"131",3095,1.29500129512326e-10,0.492,10.87,"Red Dwarf ","Red","M"
"133",3100,9.32400932488748e-09,0.31,11.17,"Red Dwarf ","Red","M"
"134",2989,1.01481010581477e-08,0.34,13.12,"Red Dwarf ","Red","M"
"135",3542,9.65364601819158e-10,0.62,14.23,"Red Dwarf ","Red","M"
"136",3243,2.61354806833967e-09,0.73,14.75,"Red Dwarf ","Red","M"
"137",3091,9.44173671535323e-09,0.24,11.43,"Red Dwarf ","Red","M"
"139",3324,3.90854936346293e-09,0.34,12.23,"Red Dwarf ","Red","M"
"140",3541,1.43627416368216e-09,0.256,14.33,"Red Dwarf ","Red","M"
"141",13420,6.0040969137533e-10,0.00981,13.67,"White Dwarf","Blue_White","B"
"142",21020,1.67172894461366e-09,0.0112,11.52,"White Dwarf","Blue","B"
"143",18290,1.43627416368216e-09,0.00934,12.78,"White Dwarf","Blue","B"
"144",14520,8.71182689446557e-10,0.00972,11.92,"White Dwarf","Blue_White","B"
"145",11900,6.94591603747931e-10,0.00898,11.38,"White Dwarf","Blue_White","B"
"146",8924,2.35454780931502e-10,0.00879,14.87,"White Dwarf","Blue_White","A"
"147",12912,7.41682559934231e-10,0.00945,12.83,"White Dwarf","Blue_White","B"
"149",7723,7.06364342794506e-11,0.00878,14.81,"White Dwarf","White","A"
"152",8945,4.4736314195073e-05,2.487,0.12,"Main Sequence","Blue_White","A"
"153",14060,0.00128558300970409,5.745,-2.04,"Main Sequence","Blue_White","A"
"154",16390,0.00150455595597038,5.68,-3.32,"Main Sequence","Blue_White","B"
"155",25070,0.017070471523352,5.92,-3.98,"Main Sequence","Blue_White","B"
"156",28700,0.0197664287650177,6.4,-4.09,"Main Sequence","Blue_White","B"
"158",20120,0.00555673273580153,6.78,-3.4,"Main Sequence","Blue_White","B"
"159",13023,0.00117491926266628,6.21,-1.38,"Main Sequence","Blue_White","A"
"160",37800,0.238868875160827,6.86,-4.56,"Main Sequence","Blue","O"
"162",11567,0.295495749974853,36,-6.245,"Supergiant","Blue","O"
"164",5752,0.288432106546908,97,-6.63,"Supergiant","Blue","O"
"165",8927,0.281368463118963,35,-7.34,"Supergiant","Blue","O"
"166",7282,0.154222881415952,24,-7.22,"Supergiant","Blue","O"
"167",19923,0.17894563341376,73,-5.69,"Supergiant","Blue","O"
"169",17383,0.403687221812878,30,-6.09,"Supergiant","Blue","O"
"170",9373,0.499776317911024,24,-5.99,"Supergiant","Blue","O"
"171",3570,0.376727649396221,1480,-7.58,"Hypergiant ","Red","M"
"172",3500,0.162463798748554,1420,-8.18,"Hypergiant ","Red","M"
"173",4287,0.741682559840049,1315,-9.2,"Hypergiant ","Orange","K"
"174",26000,0.372018553777591,1679,-9.1,"Hypergiant ","Blue","B"
"175",3600,0.28254573702362,1190,-7.89,"Hypergiant ","Red","M"
"176",3614,0.170704716081157,1553,-7.71,"Hypergiant ","Red","M"
"177",18000,0.23545478083732,1045,-8.3,"Hypergiant ","Blue","O"
"178",11000,0.200136563697595,1779,-9.9,"Hypergiant ","Blue_White","B"
"179",12100,0.141272868464719,708.9,-7.84,"Hypergiant ","Blue_White","B"
"180",24490,0.292540792474163,1134.5,-8.24,"Hypergiant ","Blue_White","B"
"181",2831,1.77768359603284e-10,0.0915,16.21,"Brown Dwarf","Red","M"
"182",2914,6.48677921466288e-10,0.116,18.39,"Brown Dwarf","Red","M"
"183",3419,1.94250194268489e-10,0.126,17.56,"Brown Dwarf","Red","M"
"184",3218,4.37945892532594e-10,0.0987,17.34,"Brown Dwarf","Red","M"
"185",3453,6.36905182419713e-10,0.0773,17.08,"Brown Dwarf","Red","M"
"186",2889,3.20218502066843e-10,0.0973,16.93,"Brown Dwarf","Red","M"
"187",2968,4.48541357674511e-10,0.119,17.45,"Brown Dwarf","Red","M"
"188",3484,5.54496009093687e-10,0.0998,16.67,"Brown Dwarf","Red","M"
"189",2778,9.05323632681625e-10,0.112,19.45,"Brown Dwarf","Red","M"
"190",3523,1.03246921438464e-09,0.129,16.35,"Brown Dwarf","Red","M"
"191",3462,6.1453697823122e-09,0.148,11.47,"Red Dwarf ","Red","M"
"192",3257,2.73127545880542e-09,0.46,10.73,"Red Dwarf ","Red","M"
"193",2994,8.38219020116147e-09,0.28,13.45,"Red Dwarf ","Red","M"
"194",3212,1.78945633507941e-09,0.378,12.854,"Red Dwarf ","Red","M"
"195",3523,6.26309717277795e-09,0.319,12.43,"Red Dwarf ","Red","M"
"196",3598,3.08445763020268e-09,0.67,13.667,"Red Dwarf ","Red","M"
"197",3142,1.45981964177531e-09,0.258,14.12,"Red Dwarf ","Red","M"
"198",3496,1.37741046844929e-09,0.336,14.94,"Red Dwarf ","Red","M"
"200",3463,3.08445763020268e-09,0.675,14.776,"Red Dwarf ","Red","M"
"202",15680,1.34209225130956e-09,0.0114,11.92,"White Dwarf","Blue","B"
"203",14982,1.29500129512326e-09,0.0113,12.23,"White Dwarf","Blue","B"
"204",13340,1.18904664370408e-09,0.0116,12.9,"White Dwarf","Blue","B"
"205",18340,1.48336511986846e-09,0.0124,11.22,"White Dwarf","Blue","B"
"206",19920,1.74236537889311e-09,0.0142,11.34,"White Dwarf","Blue","B"
"207",24020,1.77768359603284e-09,0.0127,10.55,"White Dwarf","Blue","B"
"209",17920,1.21259212179724e-09,0.0106,11.66,"White Dwarf","Blue","B"
"210",19360,1.37741046844929e-09,0.00998,11.62,"White Dwarf","Blue","B"
"211",22350,0.0146570600188041,6.36,-3.67,"Main Sequence","Blue_White","B"
"212",10012,0.000649855101189033,5.856,0.013,"Main Sequence","Blue_White","A"
"213",13089,0.000927691742688205,5.992,-0.12,"Main Sequence","Blue_White","A"
"214",22012,0.00794424421444696,6.64,-2.55,"Main Sequence","Blue_White","B"
"215",34190,0.233335687808937,6.39,-4.57,"Main Sequence","Blue","O"
"216",32460,0.204610204535293,6.237,-4.36,"Main Sequence","Blue","O"
"217",9320,3.41408490531554e-05,1.91,1.236,"Main Sequence","Blue_White","A"
"218",19400,0.0128558309446781,6.03,-3.08,"Main Sequence","Blue_White","B"
"220",8250,1.08896894361696e-05,1.93,-0.98,"Main Sequence","yellow_white","F"
"221",23678,0.287596242074601,35,-6.27,"Supergiant","Blue","O"
"222",12749,0.391467118682533,76,-7.02,"Supergiant","Blue","O"
"223",9383,0.403734312769064,98,-6.98,"Supergiant","Blue","O"
"224",23440,0.632702314485904,81,-5.975,"Supergiant","Blue","O"
"226",18734,0.264627628194733,46,-7.45,"Supergiant","Blue","O"
"227",9892,0.699182971881913,80,-7.262,"Supergiant","Blue","O"
"229",23095,0.409479409423793,86,-5.905,"Supergiant","Blue","O"
"230",21738,0.881648654364781,92,-7.346,"Supergiant","Blue","O"
"231",24145,0.450887664472312,1494,-8.84,"Hypergiant ","Blue_White","B"
"232",38234,0.321195639313526,1356,-9.29,"Hypergiant ","Blue","O"
"234",27739,1,1252,-7.59,"Hypergiant ","Blue_White","B"
"236",38940,0.441277577588592,1356,-9.93,"Hypergiant ","Blue","O"
"237",30839,0.981895881894177,1194,-10.63,"Hypergiant ","Blue","O"
"238",8829,0.632776482741897,1423,-10.73,"Hypergiant ","White","A"
